entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2026-01-02 10:25:00,2026-01-02 14:10:00,SHORT,25489.5,25386.25,205.26,448.5,-228.5,45,225,EMA Break Exit,2026,2026-01,Friday,10,True
2026-01-06 10:00:00,2026-01-06 10:55:00,LONG,25749.25,25687.5,-124.74,59.0,-152.5,11,55,EMA Break Exit,2026,2026-01,Tuesday,10,False
2026-01-06 11:10:00,2026-01-06 12:10:00,SHORT,25670.25,25714.0,-88.74,33.0,-96.5,12,60,Time Stop,2026,2026-01,Tuesday,11,False
2026-01-07 10:00:00,2026-01-07 13:05:00,LONG,25842.25,25962.0,238.26,311.5,-66.5,37,185,EMA Break Exit,2026,2026-01,Wednesday,10,True
2026-01-08 10:50:00,2026-01-08 10:55:00,SHORT,25616.25,25684.75,-138.24,12.5,-139.5,1,5,EMA Cross Stop,2026,2026-01,Thursday,10,False
2026-01-08 11:20:00,2026-01-08 11:45:00,SHORT,25638.25,25668.5,-61.74,109.0,-81.5,5,25,EMA Break Exit,2026,2026-01,Thursday,11,False
2026-01-09 10:05:00,2026-01-09 10:10:00,SHORT,25642.5,25748.0,-212.24,7.0,-218.5,1,5,EMA Cross Stop,2026,2026-01,Friday,10,False
2026-01-09 10:30:00,2026-01-09 10:50:00,LONG,25864.75,25775.75,-179.24,11.5,-207.5,4,20,EMA Break Exit,2026,2026-01,Friday,10,False
2026-01-12 13:00:00,2026-01-12 14:00:00,LONG,25978.25,25967.0,-23.74,38.0,-27.0,12,60,Time Stop,2026,2026-01,Monday,13,False
2026-01-13 10:10:00,2026-01-13 10:55:00,SHORT,25914.25,25894.5,38.26,216.5,0.0,9,45,EMA Break Exit,2026,2026-01,Tuesday,10,True
2026-01-13 11:30:00,2026-01-13 12:40:00,LONG,25945.75,25927.0,-38.74,160.5,-63.5,14,70,Time Stop,2026,2026-01,Tuesday,11,False
2026-01-13 12:55:00,2026-01-13 14:55:00,SHORT,25876.75,25866.25,19.76,110.5,-69.0,24,120,EMA Break Exit,2026,2026-01,Tuesday,12,True
2026-01-13 15:20:00,2026-01-13 15:50:00,SHORT,25843.75,25889.75,-93.24,81.0,-93.0,6,30,EMA Break Exit,2026,2026-01,Tuesday,15,False
2026-01-14 10:00:00,2026-01-14 11:20:00,SHORT,25556.25,25564.5,-17.74,173.5,-277.5,16,80,Time Stop,2026,2026-01,Wednesday,10,False
2026-01-14 11:55:00,2026-01-14 13:00:00,SHORT,25460.0,25478.75,-38.74,53.5,-97.5,13,65,Time Stop,2026,2026-01,Wednesday,11,False
2026-01-15 11:15:00,2026-01-15 12:15:00,LONG,25913.25,25907.0,-13.74,53.0,-66.5,12,60,Time Stop,2026,2026-01,Thursday,11,False
2026-01-15 13:40:00,2026-01-15 13:45:00,LONG,25895.5,25889.5,-13.24,9.5,-15.5,1,5,EMA Cross Stop,2026,2026-01,Thursday,13,False
2026-01-16 10:00:00,2026-01-16 11:20:00,SHORT,25730.75,25702.0,56.26,281.0,-69.5,16,80,EMA Break Exit,2026,2026-01,Friday,10,True
2026-01-16 12:20:00,2026-01-16 13:10:00,SHORT,25703.0,25693.75,17.26,98.0,-21.5,10,50,EMA Break Exit,2026,2026-01,Friday,12,True
2026-01-19 10:45:00,2026-01-19 18:05:00,LONG,25325.5,25387.25,122.26,185.0,-49.0,28,140,EMA Break Exit,2026,2026-01,Monday,10,True
2026-01-20 10:00:00,2026-01-20 10:05:00,LONG,25301.0,25272.0,-59.24,48.0,-80.5,1,5,EMA Cross Stop,2026,2026-01,Tuesday,10,False
2026-01-20 10:40:00,2026-01-20 11:40:00,LONG,25388.75,25354.0,-70.74,82.5,-151.0,12,60,Time Stop,2026,2026-01,Tuesday,10,False
2026-01-21 11:50:00,2026-01-21 12:55:00,SHORT,25264.75,25246.0,36.26,244.0,-13.0,13,65,EMA Break Exit,2026,2026-01,Wednesday,11,True
